27
88 3828
1 11 22
32 46 77
12 14 44
12 56 8
34 75 80
8 63 96
20 81 71
23 74 93
18 67 26
43 75 87
31 45 2
16 87 29
6 7 88
34 59 66
24 55 48
40 57 44
24 27 54
39 79 35
65 70 71
60 63 32
7 50 56
66 68 11
6 19 79
22 42 33
14 70 7
1 2 5
9 74 52
25 67 12
26 29 93
44 85 89
65 86 73
71 82 13
8 69 67
13 65 79
31 84 50
7 77 99
70 79 32
4 18 76
35 77 94
26 75 51
49 52 70
41 67 35
20 24 34
20 55 33
9 31 95
25 28 7
16 40 18
65 78 73
69 86 12
53 80 54
21 81 59
39 73 51
5 28 48
20 39 8
65 79 0
55 80 5
29 81 45
72 74 61
70 85 61
12 49 52
62 87 93
16 77 91
15 79 88
40 81 82
51 84 0
1 77 42
50 53 51
33 82 6
11 79 38
12 69 93
72 86 27
32 77 26
32 56 18
52 76 60
61 79 76
30 64 12
48 60 97
47 61 99
1 22 57
18 28 13
39 52 24
1 16 17
19 36 84
1 36 55
46 66 40
6 55 68
29 31 4
23 43 74
35 52 74
54 79 56
48 71 25
78 84 31
25 41 2
18 70 37
21 51 33
68 82 35
6 39 83
10 72 23
36 66 95
32 40 55
49 87 75
18 69 1
3 68 1
58 67 67
4 74 1
33 75 83
11 71 42
11 76 29
23 28 20
23 70 13
12 63 11
65 74 46
38 43 69
12 28 11
28 61 96
52 88 22
25 48 50
2 41 48
13 23 13
20 50 50
9 84 61
12 60 82
6 16 59
8 43 75
6 81 79
23 85 75
65 72 97
22 66 37
4 7 8
4 51 43
14 17 94
50 88 32
14 61 35
34 81 99
47 65 64
16 44 86
68 69 71
28 54 22
30 37 96
3 10 89
37 80 40
20 27 22
5 82 87
30 62 36
48 78 4
9 81 39
15 28 4
40 69 27
18 27 71
14 30 10
10 36 1
28 64 50
74 77 47
35 74 22
2 59 8
41 72 45
24 61 51
29 43 37
1 23 38
49 83 31
36 52 2
67 88 16
11 53 5
4 52 60
36 87 42
5 53 68
13 20 80
58 87 38
3 22 18
80 82 27
66 79 95
4 29 91
25 27 20
42 60 92
6 33 86
31 37 42
33 80 30
14 37 41
5 67 3
79 81 49
18 35 27
54 68 45
14 68 10
20 64 76
32 64 25
11 38 95
60 79 43
60 80 67
14 82 10
13 86 17
1 58 3
66 75 79
15 73 11
20 28 5
14 31 77
1 64 87
25 38 17
40 78 49
60 72 45
48 68 12
47 72 21
15 59 96
30 55 78
36 84 31
55 56 44
17 77 23
22 23 81
8 39 28
73 79 50
2 72 39
5 29 11
26 50 17
50 75 96
30 82 54
36 72 20
50 85 38
2 58 35
33 36 61
11 50 21
38 45 57
28 62 23
46 78 71
6 10 74
13 14 76
16 47 67
11 36 29
38 51 26
8 68 49
14 78 77
66 86 68
32 73 5
39 42 86
68 80 49
24 39 62
34 74 11
9 73 94
46 79 69
5 86 54
40 64 9
41 45 35
7 18 41
20 59 58
31 78 36
18 19 44
36 39 72
26 43 6
10 58 77
37 88 33
17 58 50
23 50 69
3 76 98
9 49 37
35 41 98
50 52 49
31 58 38
39 55 83
19 34 31
17 41 73
44 87 37
15 32 2
30 73 4
11 58 24
76 87 30
25 81 19
19 83 5
28 47 7
40 86 66
24 68 36
51 66 50
21 60 23
39 57 79
44 78 13
8 88 42
3 8 40
32 43 24
4 71 56
2 76 8
45 46 72
11 61 89
2 38 87
15 56 57
8 50 24
16 34 54
9 10 14
51 75 59
50 77 24
6 70 69
21 85 79
15 29 61
75 84 92
41 63 79
13 72 36
37 47 23
9 55 37
23 56 53
5 85 32
44 51 39
51 67 44
30 56 2
10 41 2
66 83 77
10 71 92
10 68 76
35 69 23
14 88 26
10 40 75
27 87 59
36 37 77
29 42 71
19 47 16
48 79 98
21 30 12
6 83 12
7 75 3
5 75 16
33 86 94
5 31 92
30 36 0
18 38 9
6 82 22
26 62 83
14 29 96
40 79 66
3 20 80
23 61 92
68 72 24
6 84 34
9 20 74
14 27 45
86 87 76
42 71 56
9 39 38
16 17 36
46 64 62
60 87 77
30 47 82
38 53 76
29 47 92
30 45 52
28 43 64
5 68 39
27 88 89
47 59 88
32 44 21
17 42 76
1 61 72
35 54 56
27 51 40
1 33 39
46 56 66
15 64 88
6 80 50
35 42 14
32 76 16
43 55 71
14 24 40
48 70 38
46 70 31
37 75 37
3 49 38
11 85 99
42 70 93
21 39 97
17 32 62
12 54 76
8 83 83
5 38 16
46 62 90
74 84 38
49 50 84
41 81 15
11 28 52
38 54 43
32 80 22
49 88 37
85 88 44
52 80 19
26 66 71
76 81 86
16 45 21
54 64 67
4 53 85
57 59 20
49 64 75
7 66 1
38 61 85
52 86 85
18 57 42
19 35 62
27 57 5
30 53 98
12 35 29
7 61 45
57 80 19
27 35 83
26 40 71
62 74 51
3 82 45
17 22 86
32 71 48
44 59 3
11 74 67
32 57 95
30 68 81
25 68 49
10 81 48
10 17 62
8 77 64
27 47 49
15 37 29
19 66 59
43 64 20
15 55 51
38 81 26
8 74 51
26 85 34
64 86 39
26 54 8
65 82 2
26 34 45
49 51 13
19 32 90
19 57 65
25 71 56
10 49 92
6 71 23
26 65 39
32 61 29
48 74 35
51 56 69
29 68 55
25 46 74
7 14 14
73 87 47
12 57 13
14 45 4
64 67 38
53 62 12
25 60 51
23 39 9
53 57 2
13 34 77
24 65 18
53 75 10
48 72 53
5 37 40
6 8 30
6 42 63
3 63 71
40 58 1
5 7 64
11 32 29
14 53 78
23 51 31
22 70 41
21 43 30
23 72 31
26 88 69
50 54 68
8 84 20
81 87 12
71 81 17
59 61 94
1 49 40
29 80 45
2 11 67
44 49 99
51 79 59
39 56 46
17 78 70
48 51 56
31 66 2
19 25 0
33 42 60
9 47 22
12 13 21
27 79 22
8 19 69
20 86 93
59 67 93
41 74 46
21 88 4
50 60 98
2 12 99
21 76 90
42 63 31
3 17 33
6 41 36
24 62 52
12 16 35
5 35 80
54 72 4
39 53 36
4 21 27
46 47 2
55 70 26
19 64 78
18 86 48
5 54 81
16 60 99
43 58 60
7 49 2
62 67 37
54 69 9
21 84 81
7 68 33
8 41 71
61 82 18
3 66 16
4 8 55
10 22 40
25 77 99
7 15 68
47 54 79
43 65 76
18 58 38
31 36 43
6 78 71
24 35 2
20 54 84
59 63 60
32 60 79
16 30 80
29 60 65
62 75 55
29 56 26
1 75 53
2 33 2
43 46 2
29 76 97
52 61 61
50 78 0
13 76 40
56 75 10
58 77 47
24 50 83
9 19 62
40 67 3
37 48 26
36 48 54
73 78 91
39 50 94
62 78 0
19 39 94
57 85 20
7 47 70
66 88 43
3 81 77
54 61 9
52 53 39
3 67 44
48 73 82
52 81 4
64 73 8
6 35 56
11 47 58
1 67 17
74 80 76
63 68 1
4 40 87
9 34 85
10 43 27
9 41 52
37 62 98
69 73 66
23 64 29
17 82 33
51 86 1
31 75 56
10 25 90
18 21 60
11 35 78
4 14 41
3 65 20
73 85 32
18 55 27
9 26 16
22 83 18
63 81 72
42 47 49
17 59 2
13 75 76
8 49 56
40 43 61
61 87 71
5 19 62
45 78 6
39 88 62
24 44 13
9 14 46
12 77 37
16 69 42
1 31 84
3 58 1
50 84 1
22 64 75
30 72 16
17 40 27
44 56 74
56 65 64
33 71 49
58 65 78
23 44 4
22 81 79
2 74 51
26 86 89
32 37 26
32 81 84
47 49 48
8 31 61
29 74 78
28 72 86
59 70 38
45 68 90
18 37 26
35 37 38
47 53 37
83 86 36
53 84 55
66 85 23
36 38 29
3 30 91
16 86 82
61 74 60
29 40 3
57 61 46
59 84 94
59 79 74
18 20 27
42 58 91
61 69 38
27 65 30
1 76 66
7 21 3
23 69 40
29 67 2
54 84 31
5 43 61
69 75 2
17 63 95
18 79 4
22 52 49
22 72 24
67 69 66
39 49 23
25 79 14
58 83 96
27 59 94
67 70 24
66 69 62
9 63 53
37 74 48
25 78 39
12 85 73
1 87 85
71 84 31
15 52 11
61 63 78
40 44 7
69 71 74
9 58 92
54 75 33
10 11 35
42 51 86
37 39 85
29 75 16
67 80 24
41 85 12
7 52 29
1 32 63
18 75 21
34 63 18
34 60 20
7 73 51
5 59 46
64 77 56
42 66 94
22 60 53
38 50 70
33 59 58
3 13 40
31 86 81
22 58 32
5 49 5
40 54 18
3 37 60
57 63 69
7 83 59
10 20 42
12 48 99
27 73 17
10 74 53
5 65 14
54 70 26
11 17 55
25 56 5
41 69 4
5 52 13
19 29 17
35 38 83
22 39 32
63 79 37
17 56 68
32 59 34
3 33 53
44 46 96
1 71 64
47 51 88
19 76 13
3 48 92
1 73 52
29 78 53
66 73 26
23 67 79
24 54 34
53 58 90
23 75 17
42 85 62
42 77 14
57 86 48
52 57 23
18 74 93
3 62 86
16 54 7
45 51 0
47 68 57
7 30 64
8 73 49
56 72 53
21 34 44
43 56 24
31 62 91
37 83 82
4 48 64
42 76 30
36 41 42
5 26 99
6 53 61
37 58 74
56 57 20
7 86 5
53 63 4
71 73 2
48 63 36
5 63 63
67 74 82
11 81 31
31 65 73
27 80 98
39 64 45
48 65 53
11 20 86
38 74 1
41 79 80
28 73 74
8 79 87
15 58 97
44 45 14
7 41 63
5 25 33
43 53 62
33 67 58
12 50 46
3 41 98
19 85 60
22 76 26
5 55 22
48 59 53
22 69 50
24 58 66
1 27 23
1 3 26
16 80 19
4 57 28
58 78 66
7 24 92
16 39 61
42 50 18
47 74 15
35 85 67
53 72 91
35 79 28
14 49 91
29 38 76
26 82 81
28 56 23
16 66 29
43 71 12
21 33 32
28 31 40
32 36 47
3 88 58
25 59 52
12 33 17
16 63 92
33 41 76
27 70 81
17 79 39
21 77 36
48 66 92
17 76 49
7 8 2
22 61 34
2 77 5
7 12 6
1 53 1
24 26 26
56 71 11
46 68 38
54 56 35
10 80 23
54 57 15
34 69 35
4 5 31
18 64 33
37 38 80
16 33 70
28 38 52
2 22 47
26 38 36
13 35 20
13 28 55
27 39 30
32 33 70
36 75 92
44 77 4
7 9 32
35 67 4
35 68 22
37 81 71
48 55 98
46 48 24
55 88 49
13 70 14
10 47 24
8 48 22
1 51 77
23 73 70
70 87 54
43 87 89
10 61 77
58 79 11
29 83 23
29 49 89
32 66 58
15 33 2
11 87 2
34 88 35
56 74 4
57 78 94
62 65 0
15 70 8
33 63 61
6 65 79
46 83 61
84 86 51
80 84 69
8 33 93
46 84 97
37 61 11
68 87 57
17 45 5
19 77 97
15 50 76
45 49 36
27 56 53
68 83 28
49 86 55
40 82 41
5 50 17
27 84 47
9 32 30
68 71 90
12 84 2
61 67 73
15 49 53
36 81 24
6 44 78
13 32 28
21 61 4
53 81 56
37 46 79
35 63 96
28 65 45
12 64 94
26 84 6
28 41 62
12 27 7
12 59 67
68 75 95
47 76 41
28 48 60
7 10 30
49 76 6
48 77 7
31 87 91
26 46 83
12 40 76
19 51 87
16 22 84
9 38 46
52 65 10
78 79 67
4 81 87
5 56 94
64 79 50
65 84 39
43 77 86
7 38 65
20 74 29
39 67 32
65 83 7
5 10 56
57 69 97
52 59 7
34 58 56
32 38 71
2 71 25
26 49 79
13 19 96
40 60 20
58 69 9
40 71 57
56 64 5
53 54 6
79 82 82
37 50 68
43 88 22
8 25 12
21 37 20
3 23 36
48 52 76
63 72 52
35 60 96
16 70 19
2 29 96
54 60 84
38 41 46
58 86 9
47 86 15
16 75 6
30 49 37
44 79 58
38 66 53
25 54 2
68 85 0
7 80 78
34 53 75
35 78 78
2 48 71
60 81 81
5 61 79
4 32 99
43 63 17
63 74 0
3 7 75
5 69 26
30 57 8
7 40 86
38 48 79
44 60 43
28 69 83
45 50 49
30 42 72
14 18 33
75 88 78
50 58 93
26 47 61
13 42 80
42 61 82
24 85 83
50 76 56
20 70 73
26 30 94
54 55 42
16 38 17
43 52 93
28 36 27
49 67 15
36 45 71
54 74 75
80 81 98
34 43 56
12 47 20
66 84 15
7 63 89
20 31 27
20 42 82
30 70 0
10 48 80
25 63 13
49 78 33
24 49 65
3 26 80
27 43 74
78 82 22
24 78 43
52 69 57
25 45 67
22 84 10
34 80 3
54 86 85
39 47 90
70 84 10
8 17 7
38 42 29
2 87 10
43 62 37
27 55 23
23 47 87
1 5 18
22 29 48
20 45 26
47 87 9
15 72 60
29 39 7
41 70 84
19 86 9
75 87 34
54 71 8
8 14 5
4 16 79
83 85 44
3 46 57
33 87 95
10 21 27
40 76 52
25 52 83
42 52 29
14 83 36
23 37 84
9 54 43
42 78 19
11 70 91
37 65 42
30 52 42
26 79 68
42 68 30
9 23 15
25 50 87
27 30 74
3 11 9
20 53 12
18 82 54
18 56 54
53 70 56
22 80 93
24 51 15
3 78 68
46 87 92
51 55 96
16 55 35
11 75 44
71 88 41
20 75 95
16 76 34
50 63 13
4 60 49
51 82 16
79 80 55
40 63 74
8 61 87
64 85 17
23 42 5
15 27 97
7 46 21
8 54 21
26 27 26
5 34 46
13 63 90
52 58 64
21 67 25
1 72 75
4 26 70
25 55 65
1 39 87
22 62 54
11 65 31
6 27 55
70 86 12
64 70 51
12 41 99
57 88 60
15 35 60
38 49 88
1 25 46
14 71 32
30 80 20
6 76 30
22 26 95
11 15 34
9 79 91
42 49 78
18 83 55
28 32 17
8 67 34
21 38 70
38 39 69
4 11 34
9 87 60
6 17 67
12 23 35
2 43 23
62 68 40
18 24 90
40 80 86
15 23 35
40 66 13
4 58 20
58 60 17
55 66 55
2 83 91
19 26 77
42 81 99
18 68 34
6 22 59
15 82 1
6 45 44
13 51 90
8 13 63
25 76 12
20 29 9
9 64 41
25 65 14
2 3 94
42 64 41
17 54 96
18 32 12
1 18 56
52 66 40
14 35 42
26 32 98
17 18 13
11 40 87
52 62 74
5 18 77
12 68 48
25 61 0
41 51 23
19 54 94
21 80 33
12 87 58
77 80 6
34 62 33
5 58 97
35 64 47
5 88 69
58 88 75
39 86 0
4 61 18
31 82 98
60 82 22
20 30 9
6 64 14
51 65 66
1 84 0
3 5 82
34 38 6
10 63 6
14 67 97
17 49 1
43 66 38
9 16 90
33 74 32
6 69 20
56 69 59
14 81 37
58 71 98
14 65 7
1 74 9
68 81 60
4 76 45
24 31 89
23 59 25
1 66 52
67 84 70
19 20 64
57 66 96
63 70 76
57 74 57
10 27 55
58 75 91
11 24 83
50 73 8
20 77 25
18 23 14
29 87 6
49 79 4
56 61 82
18 34 43
11 55 29
3 73 19
23 34 68
26 58 66
35 88 73
45 84 74
21 31 41
75 78 18
25 47 76
9 78 38
37 84 87
14 25 24
29 44 36
27 64 3
20 88 97
36 88 30
34 67 67
10 45 1
48 75 92
30 54 9
24 84 40
2 81 7
10 16 48
30 88 68
13 80 69
10 82 35
8 56 42
35 82 33
34 76 22
67 77 32
19 31 47
64 71 57
49 66 17
66 78 6
43 67 24
23 38 98
11 13 54
7 26 21
14 40 79
39 68 42
25 62 94
35 47 72
4 75 17
1 43 10
1 83 91
70 82 89
16 32 98
17 71 50
10 86 45
38 70 40
43 60 57
41 58 33
73 84 5
12 38 84
23 33 91
26 63 67
51 60 82
39 54 84
26 33 4
7 17 30
19 33 62
61 81 82
4 46 57
49 57 56
15 85 10
15 68 97
6 43 43
72 88 72
39 45 15
81 86 45
53 87 52
79 87 27
1 10 75
4 70 81
16 58 82
75 85 15
55 64 1
18 44 79
44 47 18
30 87 4
2 54 45
21 58 42
32 54 13
1 41 55
6 60 57
30 77 60
3 6 68
15 60 8
17 35 47
32 39 21
9 36 41
21 22 36
30 76 38
2 16 85
17 73 98
13 50 51
53 69 95
73 77 28
42 59 99
49 55 58
39 66 17
37 63 87
59 74 70
3 85 48
10 55 43
11 45 38
52 79 84
9 25 91
27 33 57
61 85 58
77 81 65
11 62 98
5 60 23
83 84 6
20 49 61
3 42 21
68 70 21
26 71 25
45 80 47
31 74 87
63 75 23
47 56 78
30 61 3
54 87 79
36 63 55
17 84 77
15 83 82
1 57 44
32 42 90
81 85 25
70 78 11
51 88 17
3 56 61
8 44 97
23 83 75
14 46 18
12 67 74
20 79 4
39 83 38
39 41 8
16 72 22
27 77 19
33 79 49
74 86 21
24 76 35
4 77 30
8 38 90
53 60 82
67 79 85
18 50 84
80 88 40
21 79 36
5 87 89
39 65 53
13 18 85
28 52 59
69 87 92
8 85 42
4 49 5
9 88 9
42 55 67
20 87 15
14 69 31
5 36 30
16 83 3
35 76 50
42 44 24
6 48 12
63 85 55
34 73 59
51 69 68
6 85 45
7 28 60
8 10 97
17 30 21
53 86 92
38 88 44
62 86 26
22 75 19
2 4 2
70 88 96
4 65 76
9 67 4
44 72 55
82 86 22
30 40 19
49 73 99
24 59 3
34 49 88
45 64 13
59 72 94
2 9 78
54 67 62
33 68 2
6 50 22
25 86 64
8 65 86
22 67 72
59 69 75
39 58 43
24 71 61
10 39 80
19 68 87
19 49 41
19 30 51
12 66 74
25 36 69
1 15 13
16 31 69
16 64 27
2 37 46
49 63 21
2 65 68
52 70 75
64 75 23
22 65 41
50 61 69
44 55 57
41 65 67
4 6 53
23 36 95
7 71 61
5 83 31
35 59 95
35 40 9
6 26 44
72 75 84
50 70 85
2 63 92
44 50 99
7 36 81
9 60 5
19 62 21
69 77 88
64 66 41
18 41 60
76 83 12
18 39 61
37 59 31
5 16 13
33 64 57
31 67 51
36 77 42
46 67 59
16 23 50
13 56 88
40 70 45
7 72 48
66 74 10
1 54 51
15 43 61
14 63 34
5 39 34
15 46 40
26 69 28
43 51 76
36 50 77
31 39 4
31 81 72
7 19 67
46 75 23
12 24 78
33 61 13
23 77 44
58 59 18
10 59 11
43 73 85
33 43 53
35 62 9
54 58 87
47 84 63
28 45 39
4 38 95
39 84 74
31 47 36
51 83 56
13 82 82
11 68 92
69 83 4
11 83 89
64 81 24
17 47 34
33 51 0
40 56 46
23 87 36
84 88 18
21 45 0
37 86 65
33 60 39
37 68 33
1 13 41
29 59 3
25 66 82
22 33 44
5 48 57
21 78 4
10 85 58
1 9 66
3 19 17
46 82 54
50 56 22
62 88 11
10 62 37
15 77 97
6 61 9
1 82 50
51 62 97
23 63 18
50 55 42
46 49 42
48 50 32
41 61 41
32 75 51
62 81 10
15 21 55
11 48 47
45 61 71
18 29 31
36 60 81
48 49 63
44 73 72
21 68 61
17 26 62
19 44 51
22 51 20
19 60 35
11 52 98
60 65 89
35 48 63
13 45 5
58 64 15
38 58 57
38 56 37
28 30 8
41 50 64
52 78 33
41 55 14
28 82 83
50 68 49
2 39 90
55 67 78
74 75 13
46 58 77
22 77 0
21 64 23
31 71 8
37 64 57
47 81 1
50 66 63
9 53 79
35 39 39
6 74 78
60 70 84
47 80 99
21 57 53
45 83 24
71 74 75
35 43 95
20 78 97
27 76 65
35 66 3
15 24 29
36 73 38
32 63 85
55 85 99
38 60 1
15 45 38
55 78 25
8 18 4
8 51 33
31 63 18
6 52 32
43 81 90
15 65 60
30 41 84
23 71 8
18 81 71
17 31 29
25 49 59
82 87 0
23 26 14
39 60 77
31 88 67
20 58 30
34 64 36
9 52 85
16 50 53
19 75 63
38 40 87
28 88 80
9 72 33
31 51 87
56 87 13
12 88 27
9 24 8
31 48 57
42 65 31
14 72 95
71 77 88
17 61 74
18 59 63
19 46 80
27 61 77
9 56 25
72 77 28
7 32 64
36 58 88
64 69 35
30 59 8
14 19 22
1 26 22
57 62 82
31 57 79
18 52 96
60 61 37
12 55 59
22 63 75
43 85 29
24 52 24
21 75 90
2 60 70
6 34 53
25 53 0
53 73 39
5 12 57
3 18 51
67 71 94
54 81 13
46 86 43
33 84 78
63 66 38
19 22 89
14 84 62
31 85 98
8 53 27
38 69 33
66 77 54
25 87 15
42 46 29
24 42 74
34 55 70
16 84 93
36 78 8
10 26 79
39 82 22
44 63 15
61 88 57
67 81 20
32 86 76
13 15 6
49 85 76
60 62 10
21 50 62
59 75 48
76 84 19
2 75 12
44 74 34
47 52 83
23 27 32
9 35 89
34 44 64
65 80 92
7 76 25
39 75 0
66 87 36
23 78 13
20 23 75
11 57 15
27 60 85
14 42 19
3 51 52
35 58 26
6 86 37
10 65 33
47 62 48
44 81 37
9 48 40
45 71 54
16 57 88
16 65 25
72 73 63
40 73 19
19 65 43
13 84 27
14 47 22
33 50 44
19 21 38
73 81 33
48 87 98
53 82 95
48 88 28
6 23 75
48 64 47
4 47 1
6 59 31
73 83 47
29 41 54
61 72 67
8 55 89
24 57 38
20 47 41
41 78 8
5 80 97
20 66 13
34 71 7
47 55 31
63 71 7
43 44 20
68 73 22
70 76 6
11 59 78
39 40 46
17 25 14
39 70 60
25 33 55
37 71 30
29 86 86
23 84 36
35 44 28
44 84 85
33 48 29
12 81 98
5 45 72
40 75 24
45 58 77
38 67 94
24 48 91
9 83 28
26 36 27
14 16 79
33 34 79
22 82 40
15 63 47
48 86 79
45 72 81
34 87 79
10 15 90
18 87 49
60 66 5
32 83 12
77 79 60
17 62 44
24 33 44
1 65 6
42 82 87
26 59 33
15 84 87
16 79 47
14 34 41
25 83 18
28 33 36
3 47 26
61 76 73
34 79 51
8 16 99
22 30 76
1 48 31
42 48 82
32 88 95
56 82 13
14 59 41
39 63 78
16 51 26
67 68 54
18 65 11
6 58 29
31 79 7
46 74 13
30 35 61
31 41 10
31 69 91
28 75 95
36 64 77
6 37 23
25 70 80
9 18 2
69 88 92
4 15 13
8 75 88
12 52 75
7 45 87
59 73 92
81 84 95
16 41 43
23 46 76
5 79 41
24 53 76
28 66 23
37 40 72
59 66 82
43 61 62
10 79 60
6 11 97
57 82 11
46 60 4
42 53 82
36 69 49
56 59 94
27 86 55
41 62 28
31 73 18
5 9 15
33 81 35
13 88 64
26 78 75
70 71 97
18 25 74
39 59 46
61 64 96
33 65 87
15 48 32
2 8 51
31 46 63
33 69 21
40 42 33
2 27 94
16 26 98
35 45 27
10 76 40
35 65 5
3 45 32
9 28 44
75 82 82
12 18 7
36 47 86
43 49 65
48 69 41
29 54 84
16 68 15
27 58 24
11 31 60
15 87 96
54 77 30
33 62 79
7 31 65
85 87 72
1 4 93
38 86 45
12 72 30
29 57 78
41 56 59
29 61 77
42 45 0
32 65 61
11 12 25
38 64 98
16 42 23
75 86 22
4 44 14
24 86 57
32 35 54
18 63 91
11 88 48
7 33 53
10 67 79
66 81 0
51 76 19
14 38 77
65 77 30
27 72 90
11 19 24
7 88 6
25 88 58
55 82 94
17 85 79
1 6 93
27 75 10
8 58 94
62 80 99
29 77 69
59 80 99
29 50 30
45 82 85
24 36 14
24 69 15
57 79 9
66 72 78
11 44 33
31 34 99
20 41 95
7 34 28
5 62 92
55 84 51
27 67 88
71 86 23
41 83 6
65 68 21
37 85 88
27 74 71
59 87 17
48 67 1
23 60 62
4 31 44
51 61 67
57 72 4
42 86 70
32 87 58
60 77 37
6 32 67
35 51 94
19 61 14
18 80 30
75 79 92
46 52 50
12 58 10
20 37 30
53 85 37
28 87 4
13 60 44
49 72 73
19 28 4
39 44 88
34 68 75
5 14 44
3 53 51
74 85 0
45 56 31
58 68 85
4 10 5
36 76 31
27 28 87
13 73 61
22 44 29
7 65 2
5 24 38
25 69 29
24 70 3
38 46 7
10 52 98
17 70 5
70 74 24
60 76 38
14 41 14
7 58 9
2 15 1
4 80 98
50 87 44
16 67 28
55 63 25
25 29 31
29 85 68
29 32 41
61 71 22
23 81 6
64 65 47
20 43 22
23 54 61
41 76 55
12 79 78
56 88 8
10 32 22
74 82 14
31 38 6
52 71 61
16 29 33
26 83 55
33 85 12
75 76 97
58 73 7
2 69 41
76 78 37
33 83 9
45 55 54
4 62 9
6 67 93
42 84 80
52 82 22
19 24 12
35 83 89
22 53 52
36 55 71
13 39 17
10 87 10
42 75 91
56 73 16
7 37 97
52 84 11
38 57 12
9 42 68
55 83 58
30 79 62
20 40 99
21 46 28
69 79 39
18 40 60
14 20 1
9 61 21
28 78 93
4 68 98
28 34 64
13 57 52
52 85 33
12 51 19
14 22 31
26 76 70
12 37 30
21 87 6
7 23 64
7 84 97
50 86 67
32 62 37
18 47 8
56 68 3
56 76 86
19 88 47
51 77 11
15 38 13
22 86 12
4 63 77
82 83 38
5 15 75
9 66 16
12 70 29
14 74 97
27 81 41
22 27 7
2 40 12
13 25 56
65 88 63
28 39 44
55 76 59
52 63 14
11 46 75
1 17 97
62 83 8
10 34 34
36 62 62
2 68 24
17 44 1
8 82 14
31 53 6
4 23 59
7 67 28
2 61 78
34 83 80
19 52 38
53 76 10
78 80 11
46 55 7
2 23 41
81 88 30
26 73 51
23 62 8
78 87 0
3 84 12
8 57 40
80 87 30
63 80 92
13 68 5
9 40 73
14 33 52
34 66 39
34 82 84
12 43 15
2 50 96
41 82 61
20 51 75
64 82 6
22 35 98
34 37 76
10 56 76
22 56 20
46 85 79
83 87 86
4 22 8
32 69 4
29 46 80
3 36 81
40 55 26
65 73 15
69 84 35
4 17 40
9 59 91
11 22 27
34 36 60
29 72 29
3 12 29
8 24 49
20 56 57
29 33 24
31 55 11
40 85 46
46 80 83
28 80 61
44 67 16
17 87 83
49 80 3
1 37 22
19 53 84
55 60 71
4 33 20
27 45 19
39 80 96
3 38 33
48 81 52
11 82 45
20 85 71
19 78 77
37 49 74
13 59 2
77 82 96
28 37 61
10 64 1
56 84 66
73 88 55
10 38 37
25 64 1
8 21 30
87 88 7
39 87 8
32 52 69
7 74 50
35 86 77
38 75 43
21 25 7
1 35 55
40 45 25
1 50 38
23 86 23
37 43 55
22 74 97
3 34 24
6 68 19
30 66 38
25 74 49
46 54 64
38 72 27
3 40 50
55 79 19
43 79 91
58 70 34
1 24 24
22 79 51
3 9 71
58 74 54
41 57 10
23 25 49
16 20 7
4 36 23
77 83 97
51 74 62
14 85 39
19 59 0
2 46 78
55 87 54
20 35 76
1 30 54
33 38 12
15 88 21
48 56 58
5 27 68
26 81 20
9 77 27
3 77 68
34 65 71
26 61 60
58 66 61
11 64 31
53 79 76
4 78 10
